source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,Tune in to @TuckerCarlson tonight at 8 PM EST as we discuss #TaxReform 🇺🇸 https://t.co/zmHscozhZv,11/6/17 23:52,,,FALSE,9.28E+17
Twitter for iPhone,RT @NAR: Ivanka Trump calls for 'modernizing workplace' to empower women https://t.co/YJmCHpj3BY,11/6/17 22:34,,,TRUE,9.28E+17
Twitter for iPhone,RT @ABC7: Ivanka Trump Steven Mnuchin discuss tax reform at Ronald Reagan Library in Simi Valley https://t.co/TenLX2AUHy https://t.co/hIPg…,11/6/17 21:39,,,TRUE,9.28E+17
Twitter for iPhone,RT @stevenmnuchin1: Great to have joined @IvankaTrump @Reagan_Library to discuss #TaxReform. We'll cut taxes for families &amp; make US busines…,11/6/17 17:57,,,TRUE,9.28E+17
Twitter for iPhone,RT @FoxNews: TONIGHT: @IvankaTrump sits down with @TuckerCarlson to talk tax reform - Tune in at 8p ET on Fox News Channel! https://t.co/4x…,11/6/17 17:51,,,TRUE,9.28E+17
Twitter for iPhone,Great discussion w/ @stevenmnuchin1 on how #TaxReform will offer relief for working families &amp; create economic oppo… https://t.co/FPUCTGDZ5K,11/6/17 3:47,,,FALSE,9.27E+17
Twitter for iPhone,God bless the people of Sutherland Springs TX.  Our country’s hearts are breaking for the victims &amp; their families. We love &amp; are with you!,11/5/17 20:27,,,FALSE,9.27E+17
Twitter for iPhone,Excited to be in CA w/ @stevenmnuchin1 advocating for #TaxReform. The admin’s priority is getting this done for the American people! @POTUS,11/5/17 18:54,,,FALSE,9.27E+17
Twitter for iPhone,Touched by the warm hospitality of Prime Minister Abe and the Japanese people. ありがとうございます [Thank you]! Until next t… https://t.co/BHjshnv9AN,11/4/17 7:48,,,FALSE,9.27E+17
Twitter for iPhone,RT @business: Ivanka Trump says too many women in U.S. are forced to leave workforce after giving birth https://t.co/NGW6EET0hg https://t.…,11/3/17 20:46,,,TRUE,9.27E+17
Twitter for iPhone,RT @TIME: Ivanka Trump speaks at the Tokyo Summit on Women’s Advancement https://t.co/64vX7wKynj,11/3/17 20:46,,,TRUE,9.27E+17
Twitter for iPhone,The unemployment rate falls to 4.1% a 17 year low!                                       U.S. Economy added 261000 new jobs  #JobsReport,11/3/17 13:33,,,FALSE,9.26E+17
Twitter for iPhone,Wrapping up a productive day of mtgs w/ FM Kono Minister Kato &amp; Minister Noda on workforce development &amp; women’s e… https://t.co/i8qKqcyF5n,11/3/17 8:04,,,FALSE,9.26E+17
Twitter for iPhone,RT @USAmbJapan: Our daughters were inspired by @IvankaTrump’s remarks @WAW_Japan.  A wonderful example for the aspirations of young girls a…,11/3/17 5:56,,,TRUE,9.26E+17
